rank,name,channel_Info,Posts,Followers,Avg__Likes,Eng_Rate,Category_Beauty_&_Makeup,Category_Craft/DIY,"Category_Health,_Sports_&_Fitness",Category_Lifestyle,Category_News_&_Politics,Category_entertainment,Category_fashion,Category_food,Category_photography,Category_technology
130,j.m,female,31000,46500000000.0,31000.0,0.266,False,False,False,False,False,True,False,False,False,False
131,theweeknd,male,758000,46500000000.0,758000.0,0.026000000000000002,False,False,False,False,False,True,False,False,False,False
132,5.min.crafts,brand,15500,46200000000.0,15480.0,0.001,False,True,False,False,False,False,False,False,False,False
133,thenotoriousmma,male,3400,46200000000.0,3370.0,0.016,False,False,True,False,False,False,False,False,False,False
134,natgeotravel,brand,17200,46000000000.0,17240.0,0.002,False,False,False,False,False,False,False,False,True,False
135,maisa,male,1600,45800000000.0,1560.0,0.009000000000000001,False,False,False,False,False,True,False,False,False,False
136,nikefootball,brand,1800,45400000000.0,1830.0,0.004,False,False,True,False,False,False,False,False,False,False
137,jannatzubair29,female,1700,45200000000.0,1740.0,0.021,False,False,False,False,False,True,False,False,False,False
138,varundvn,male,2000,44900000000.0,1960.0,0.018000000000000002,False,False,False,False,False,True,False,False,False,False
139,badbunnypr,male,16000,44600000000.0,16000.0,0.09699999999999999,False,False,False,False,False,True,False,False,False,False
140,hrithikroshan,male,636000,44600000000.0,636000.0,0.028999999999999998,False,False,False,False,False,True,False,False,False,False
141,gusttavolima,male,5000,43900000000.0,5020.0,0.008,False,False,False,False,False,True,False,False,False,False
142,buzzfeedtasty,community,10100,43900000000.0,10120.0,0.001,False,False,False,False,False,False,False,True,False,False
143,kapilsharma,male,1100,43800000000.0,1060.0,0.015,False,False,False,False,False,True,False,False,False,False
144,brunamarquezine,female,3100,43700000000.0,3060.0,0.013999999999999999,False,False,False,False,False,True,False,False,False,False
145,norafatehi,female,1800,43600000000.0,1810.0,0.026000000000000002,False,False,False,False,False,True,False,False,False,False
146,ranveersingh,male,1800,42500000000.0,1800.0,0.015,False,False,False,False,False,True,False,False,False,False
147,dior,female,10100,42300000000.0,10090.0,0.001,True,False,False,False,False,False,False,False,False,False
149,georginagio,female,778000,42200000000.0,778000.0,0.057,False,False,False,False,False,False,True,False,False,False
150,cznburak,male,1800,42200000000.0,1830.0,0.021,False,False,False,False,False,True,False,False,False,False
152,laliga,community,37700,41900000000.0,37730.0,0.001,False,False,True,False,False,False,False,False,False,False
153,voguemagazine,brand,11000,41800000000.0,10990.0,0.003,False,False,False,False,False,False,True,False,False,False
154,britneyspears,female,3200,41700000000.0,3210.0,0.012,False,False,False,False,False,True,False,False,False,False
155,teddysphotos,male,64000,41400000000.0,64000.0,0.012,False,False,False,False,False,True,False,False,False,False
156,virginia,female,2000,41400000000.0,1990.0,0.04,False,False,False,False,False,False,True,False,False,False
157,saraalikhan95,female,889000,41400000000.0,889000.0,0.023,False,False,False,False,False,True,False,False,False,False
158,marinaruybarbosa,female,2100,41200000000.0,2120.0,0.006,False,False,False,False,False,True,False,False,False,False
160,princessyahrini,female,4600,41200000000.0,4570.0,0.001,False,False,False,False,False,True,False,False,False,False
161,jenniferaniston,female,110000,41100000000.0,110000.0,0.057999999999999996,False,False,False,False,False,True,False,False,False,False
162,worldstar,community,101800,41000000000.0,101810.0,0.001,False,False,False,False,False,True,False,False,False,False
163,andresiniesta8,male,2100,40800000000.0,2090.0,0.004,False,False,True,False,False,False,False,False,False,False
164,natashawilona12,female,1200,40500000000.0,1240.0,0.008,False,False,False,False,False,True,False,False,False,False
165,rkive,male,120000,40300000000.0,120000.0,0.153,False,False,False,False,False,True,False,False,False,False
166,mahi7781,male,107000,40100000000.0,107000.0,0.109,False,False,True,False,False,False,False,False,False,False
167,liverpoolfc,community,20500,39900000000.0,20460.0,0.005,False,False,True,False,False,False,False,False,False,False
168,prattprattpratt,male,753000,39900000000.0,753000.0,0.011000000000000001,False,False,False,False,False,True,False,False,False,False
169,addisonraee,male,325000,39500000000.0,325000.0,0.05,False,False,False,False,False,True,False,False,False,False
170,wizkhalifa,male,37000,39400000000.0,37000.0,0.008,False,False,False,False,False,True,False,False,False,False
171,parineetichopra,female,1400,39200000000.0,1350.0,0.009000000000000001,False,False,False,False,False,True,False,False,False,False
172,anushkasen0408,female,5500,39000000000.0,5470.0,0.015,False,False,False,False,False,True,False,False,False,False
173,chrissyteigen,female,5100,38600000000.0,5110.0,0.006999999999999999,False,False,False,False,False,True,False,False,False,False
174,hm,brand,7500,38500000000.0,7480.0,0.001,False,False,False,False,False,False,True,False,False,False
175,wesleysafadao,male,9000,38300000000.0,9020.0,0.003,False,False,False,False,False,True,False,False,False,False
176,marvelstudios,community,2800,38200000000.0,2810.0,0.013000000000000001,False,False,False,False,False,True,False,False,False,False
